x1	x2	x3	error
6.54128e+18	-1.12774e+19	-8.90935e+18	0.139429
7.60109e+18	-1.31046e+19	-1.03528e+19	0.139429
8.83262e+18	-1.52278e+19	-1.20302e+19	0.139429
1.02637e+19	-1.7695e+19	-1.39793e+19	0.139429
1.19266e+19	-2.05619e+19	-1.62442e+19	0.139429
1.38589e+19	-2.38933e+19	-1.88761e+19	0.139429
1.61043e+19	-2.77645e+19	-2.19344e+19	0.139429
1.87135e+19	-3.22628e+19	-2.54882e+19	0.139429
2.17455e+19	-3.749e+19	-2.96177e+19	0.139429
2.52687e+19	-4.35641e+19	-3.44164e+19	0.139429
2.93627e+19	-5.06223e+19	-3.99925e+19	0.139429
3.412e+19	-5.88241e+19	-4.6472e+19	0.139429
3.9648e+19	-6.83547e+19	-5.40014e+19	0.139429
4.60718e+19	-7.94295e+19	-6.27507e+19	0.139429
5.35363e+19	-9.22986e+19	-7.29175e+19	0.139429
6.22102e+19	-1.07253e+20	-8.47315e+19	0.139429
7.22894e+19	-1.2463e+20	-9.84596e+19	0.139429
8.40017e+19	-1.44822e+20	-1.14412e+20	0.139429
9.76116e+19	-1.68286e+20	-1.32949e+20	0.139429
1.13426e+20	-1.95552e+20	-1.54489e+20	0.139429
1.31804e+20	-2.27235e+20	-1.79519e+20	0.139429
1.53158e+20	-2.64051e+20	-2.08605e+20	0.139429
1.77973e+20	-3.06832e+20	-2.42403e+20	0.139429
2.06808e+20	-3.56545e+20	-2.81677e+20	0.139429
2.40315e+20	-4.14312e+20	-3.27313e+20	0.139429
2.79251e+20	-4.81439e+20	-3.80345e+20	0.139429
3.24494e+20	-5.59441e+20	-4.41968e+20	0.139429
3.77069e+20	-6.50081e+20	-5.13575e+20	0.139429
4.38161e+20	-7.55406e+20	-5.96784e+20	0.139429
5.09151e+20	-8.77796e+20	-6.93474e+20	0.139429
5.91644e+20	-1.02002e+21	-8.0583e+20	0.139429
6.87501e+20	-1.18528e+21	-9.3639e+20	0.139429
7.98889e+20	-1.37732e+21	-1.0881e+21	0.139429
9.28325e+20	-1.60047e+21	-1.2644e+21	0.139429
1.07873e+21	-1.85977e+21	-1.46925e+21	0.139429
1.25351e+21	-2.16109e+21	-1.7073e+21	0.139429
1.4566e+21	-2.51123e+21	-1.98391e+21	0.139429
1.69259e+21	-2.9181e+21	-2.30535e+21	0.139429
1.96683e+21	-3.39088e+21	-2.67886e+21	0.139429
2.28549e+21	-3.94027e+21	-3.11288e+21	0.139429
2.65578e+21	-4.57867e+21	-3.61723e+21	0.139429
3.08607e+21	-5.3205e+21	-4.20329e+21	0.139429
3.58607e+21	-6.18253e+21	-4.8843e+21	0.139429
4.16708e+21	-7.18421e+21	-5.67565e+21	0.139429
4.84223e+21	-8.34819e+21	-6.59521e+21	0.139429
5.62677e+21	-9.70076e+21	-7.66376e+21	0.139429
6.53841e+21	-1.12725e+22	-8.90544e+21	0.139429
7.59776e+21	-1.30988e+22	-1.03483e+22	0.139429
8.82874e+21	-1.52211e+22	-1.20249e+22	0.139429
1.02592e+22	-1.76872e+22	-1.39732e+22	0.139429
1.19213e+22	-2.05528e+22	-1.62371e+22	0.139429
1.38528e+22	-2.38828e+22	-1.88678e+22	0.139429
1.60972e+22	-2.77523e+22	-2.19248e+22	0.139429
1.87053e+22	-3.22487e+22	-2.5477e+22	0.139429
2.17359e+22	-3.74736e+22	-2.96047e+22	0.139429
2.52576e+22	-4.3545e+22	-3.44013e+22	0.139429
2.93498e+22	-5.06001e+22	-3.99749e+22	0.139429
3.4105e+22	-5.87983e+22	-4.64516e+22	0.139429
3.96306e+22	-6.83247e+22	-5.39777e+22	0.139429
4.60515e+22	-7.93946e+22	-6.27231e+22	0.139429
5.35128e+22	-9.22581e+22	-7.28854e+22	0.139429
6.21829e+22	-1.07206e+23	-8.46942e+22	0.139429
7.22577e+22	-1.24575e+23	-9.84163e+22	0.139429
8.39648e+22	-1.44758e+23	-1.14362e+23	0.139429
9.75687e+22	-1.68212e+23	-1.3289e+23	0.139429
1.13377e+23	-1.95466e+23	-1.54421e+23	0.139429
1.31746e+23	-2.27135e+23	-1.7944e+23	0.139429
1.53091e+23	-2.63935e+23	-2.08513e+23	0.139429
1.77895e+23	-3.06698e+23	-2.42296e+23	0.139429
2.06717e+23	-3.56388e+23	-2.81553e+23	0.139429
2.40209e+23	-4.1413e+23	-3.2717e+23	0.139429
2.79128e+23	-4.81227e+23	-3.80177e+23	0.139429
3.24352e+23	-5.59195e+23	-4.41773e+23	0.139429
3.76903e+23	-6.49795e+23	-5.13349e+23	0.139429
4.37968e+23	-7.55074e+23	-5.96521e+23	0.139429
5.08928e+23	-8.77411e+23	-6.93169e+23	0.139429
5.91384e+23	-1.01957e+24	-8.05476e+23	0.139429
6.87199e+23	-1.18476e+24	-9.35978e+23	0.139429
7.98538e+23	-1.37671e+24	-1.08762e+24	0.139429
9.27917e+23	-1.59976e+24	-1.26384e+24	0.139429
1.07826e+24	-1.85896e+24	-1.46861e+24	0.139429
1.25296e+24	-2.16014e+24	-1.70655e+24	0.139429
1.45596e+24	-2.51013e+24	-1.98304e+24	0.139429
1.69185e+24	-2.91682e+24	-2.30433e+24	0.139429
1.96596e+24	-3.38939e+24	-2.67768e+24	0.139429
2.28449e+24	-3.93854e+24	-3.11151e+24	0.139429
2.65462e+24	-4.57666e+24	-3.61564e+24	0.139429
3.08471e+24	-5.31817e+24	-4.20144e+24	0.139429
3.5845e+24	-6.17981e+24	-4.88215e+24	0.139429
4.16525e+24	-7.18106e+24	-5.67316e+24	0.139429
4.8401e+24	-8.34452e+24	-6.59231e+24	0.139429
5.62429e+24	-9.6965e+24	-7.6604e+24	0.139429
6.53554e+24	-1.12675e+25	-8.90153e+24	0.139429
7.59442e+24	-1.30931e+25	-1.03437e+25	0.139429
8.82486e+24	-1.52144e+25	-1.20196e+25	0.139429
1.02547e+25	-1.76794e+25	-1.3967e+25	0.139429
1.19161e+25	-2.05438e+25	-1.623e+25	0.139429
1.38467e+25	-2.38723e+25	-1.88595e+25	0.139429
1.60902e+25	-2.77401e+25	-2.19151e+25	0.139429
1.86971e+25	-3.22345e+25	-2.54658e+25	0.139429
2.17264e+25	-3.74571e+25	-2.95917e+25	0.139429
2.52465e+25	-4.35259e+25	-3.43862e+25	0.139429
2.93369e+25	-5.05779e+25	-3.99574e+25	0.139429
3.409e+25	-5.87724e+25	-4.64312e+25	0.139429
3.96132e+25	-6.82947e+25	-5.3954e+25	0.139429
4.60313e+25	-7.93597e+25	-6.26955e+25	0.139429
5.34893e+25	-9.22175e+25	-7.28534e+25	0.139429
6.21555e+25	-1.07159e+26	-8.4657e+25	0.139429
7.22259e+25	-1.2452e+26	-9.83731e+25	0.139429
8.39279e+25	-1.44695e+26	-1.14311e+26	0.139429
9.75258e+25	-1.68138e+26	-1.32832e+26	0.139429
1.13327e+26	-1.9538e+26	-1.54353e+26	0.139429
1.31688e+26	-2.27035e+26	-1.79362e+26	0.139429
1.53024e+26	-2.63819e+26	-2.08422e+26	0.139429
1.77817e+26	-3.06563e+26	-2.4219e+26	0.139429
2.06626e+26	-3.56232e+26	-2.81429e+26	0.139429
2.40104e+26	-4.13948e+26	-3.27026e+26	0.139429
2.79005e+26	-4.81016e+26	-3.8001e+26	0.139429
3.24209e+26	-5.58949e+26	-4.41579e+26	0.139429
3.76737e+26	-6.4951e+26	-5.13124e+26	0.139429
4.37776e+26	-7.54743e+26	-5.96259e+26	0.139429
5.08704e+26	-8.77025e+26	-6.92865e+26	0.139429
5.91124e+26	-1.01912e+27	-8.05122e+26	0.139429
6.86897e+26	-1.18424e+27	-9.35567e+26	0.139429
7.98188e+26	-1.37611e+27	-1.08715e+27	0.139429
9.27509e+26	-1.59906e+27	-1.26329e+27	0.139429
1.07778e+27	-1.85814e+27	-1.46796e+27	0.139429
1.2524e+27	-2.15919e+27	-1.7058e+27	0.139429
1.45532e+27	-2.50902e+27	-1.98217e+27	0.139429
1.69111e+27	-2.91553e+27	-2.30332e+27	0.139429
1.9651e+27	-3.38791e+27	-2.6765e+27	0.139429
2.28348e+27	-3.93681e+27	-3.11015e+27	0.139429
2.65345e+27	-4.57465e+27	-3.61405e+27	0.139429
3.08336e+27	-5.31583e+27	-4.19959e+27	0.139429
3.58292e+27	-6.1771e+27	-4.88001e+27	0.139429
4.16342e+27	-7.1779e+27	-5.67066e+27	0.139429
4.83798e+27	-8.34086e+27	-6.58942e+27	0.139429
5.62182e+27	-9.69224e+27	-7.65703e+27	0.139429
6.53267e+27	-1.12626e+28	-8.89761e+27	0.139429
7.59108e+27	-1.30873e+28	-1.03392e+28	0.139429
8.82098e+27	-1.52077e+28	-1.20143e+28	0.139429
1.02501e+28	-1.76716e+28	-1.39609e+28	0.139429
1.19109e+28	-2.05348e+28	-1.62228e+28	0.139429
1.38407e+28	-2.38618e+28	-1.88512e+28	0.139429
1.60831e+28	-2.77279e+28	-2.19055e+28	0.139429
1.86889e+28	-3.22203e+28	-2.54546e+28	0.139429
2.17168e+28	-3.74406e+28	-2.95787e+28	0.139429
2.52354e+28	-4.35067e+28	-3.4371e+28	0.139429
2.9324e+28	-5.05556e+28	-3.99398e+28	0.139429
3.4075e+28	-5.87466e+28	-4.64108e+28	0.139429
3.95958e+28	-6.82647e+28	-5.39303e+28	0.139429
4.60111e+28	-7.93249e+28	-6.2668e+28	0.139429
5.34658e+28	-9.2177e+28	-7.28214e+28	0.139429
6.21282e+28	-1.07111e+29	-8.46198e+28	0.139429
7.21942e+28	-1.24466e+29	-9.83299e+28	0.139429
8.3891e+28	-1.44631e+29	-1.14261e+29	0.139429
9.7483e+28	-1.68064e+29	-1.32774e+29	0.139429
1.13277e+29	-1.95294e+29	-1.54286e+29	0.139429
1.3163e+29	-2.26935e+29	-1.79283e+29	0.139429
1.52957e+29	-2.63703e+29	-2.0833e+29	0.139429
1.77739e+29	-3.06428e+29	-2.42083e+29	0.139429
2.06536e+29	-3.56075e+29	-2.81305e+29	0.139429
2.39998e+29	-4.13766e+29	-3.26882e+29	0.139429
2.78883e+29	-4.80804e+29	-3.79843e+29	0.139429
3.24067e+29	-5.58704e+29	-4.41385e+29	0.139429
3.76572e+29	-6.49224e+29	-5.12898e+29	0.139429
4.37584e+29	-7.54411e+29	-5.95997e+29	0.139429
5.08481e+29	-8.7664e+29	-6.9256e+29	0.139429
5.90864e+29	-1.01867e+30	-8.04768e+29	0.139429
6.86595e+29	-1.18372e+30	-9.35156e+29	0.139429
7.97837e+29	-1.3755e+30	-1.08667e+30	0.139429
9.27102e+29	-1.59836e+30	-1.26273e+30	0.139429
1.07731e+30	-1.85732e+30	-1.46732e+30	0.139429
1.25185e+30	-2.15825e+30	-1.70505e+30	0.139429
1.45468e+30	-2.50792e+30	-1.9813e+30	0.139429
1.69036e+30	-2.91425e+30	-2.30231e+30	0.139429
1.96424e+30	-3.38642e+30	-2.67533e+30	0.139429
2.28248e+30	-3.93508e+30	-3.10878e+30	0.139429
2.65228e+30	-4.57264e+30	-3.61246e+30	0.139429
3.08201e+30	-5.31349e+30	-4.19775e+30	0.139429
3.58135e+30	-6.17438e+30	-4.87787e+30	0.139429
4.1616e+30	-7.17475e+30	-5.66817e+30	0.139429
4.83585e+30	-8.33719e+30	-6.58652e+30	0.139429
5.61935e+30	-9.68798e+30	-7.65367e+30	0.139429
6.5298e+30	-1.12576e+31	-8.89371e+30	0.139429
7.58775e+30	-1.30816e+31	-1.03347e+31	0.139429
8.81711e+30	-1.5201e+31	-1.20091e+31	0.139429
1.02456e+31	-1.76639e+31	-1.39548e+31	0.139429
1.19056e+31	-2.05258e+31	-1.62157e+31	0.139429
1.38346e+31	-2.38513e+31	-1.8843e+31	0.139429
1.6076e+31	-2.77157e+31	-2.18959e+31	0.139429
1.86807e+31	-3.22062e+31	-2.54434e+31	0.139429
2.17073e+31	-3.74242e+31	-2.95657e+31	0.139429
